case_id,question,chunk_id,document_id,competitor,source_type,title,product_version,event_type,dimension_tags,expected_quote,content,suggested_grade,ai_grade,ai_confidence,ai_question_valid,ai_quote_valid,ai_additional_relevance_grades,ai_rationale,ai_model,ai_reviewed_at,ai_review_run_id,human_grade,question_valid,quote_valid,additional_relevance_grades,reviewer,reviewed_at,notes
cursor_official_agent,Cursor 官网如何描述把开发任务交给 Agent 的工作方式？,chunk_f6ba9547b6d24c1bc480481b,doc_07d098f2fee2ef0054ba2e6f,Cursor,official_page,Cursor: AI coding agent,,,"[""code_intelligence"", ""agent_context"", ""ide_ecosystem"", ""model_extensibility""]",handing off tasks to Cursor,"### Agents turn ideas into code

Accelerate development by handing off tasks to Cursor, while you focus on making decisions.

Learn about agentic development →

This element contains an interactive demo for sighted users. It's a demonstration of Cursor's IDE showing AI-powered coding assistance features. The interface is displayed over a subtle, solid brand background.",3,3,0.8006,true,true,"{""chunk_5b38604f1c248e7f16cc66b9"":1,""chunk_b4180b2e9105f36f75d4ec67"":1}","Cross-Encoder=1.000; 词项证据=0.042; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.761。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
cursor_teams_price,Cursor Teams 套餐的月费和团队管理能力是什么？,chunk_c5fedceb650f56c40866e98a,doc_d6324537d99947983b9e08a2,Cursor,pricing,Cursor · Pricing,,pricing_change,"[""code_intelligence"", ""agent_context"", ""ide_ecosystem"", ""model_extensibility"", ""performance_cost"", ""security_compliance""]",$40 / user / mo.,"### Teams

$40 / user / mo.

StandardPremium

Everything on Individual, plus:

- ✓ Centralized team billing and administration
- ✓ Team marketplace for internal rules, skills, and plugins
- ✓ Agentic code reviews with Bugbot
- ✓ Cloud agents and automations with shared team context
- ✓ Usage analytics to understand team behavior
- ✓ Team-wide privacy mode
- ✓ SAML/OIDC SSO

Get Teams",3,3,0.8027,true,true,"{""chunk_0154296f2861aad72be603b8"":1,""chunk_63700f2d4d8b0d72ca4d19e3"":1,""chunk_1e0c884afb69d6ab8c9d48e5"":1}","Cross-Encoder=1.000; 词项证据=0.051; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.763。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
cursor_enterprise_controls,Cursor Enterprise 套餐提供哪些访问控制和审计能力？,chunk_63700f2d4d8b0d72ca4d19e3,doc_d6324537d99947983b9e08a2,Cursor,pricing,Cursor · Pricing,,pricing_change,"[""code_intelligence"", ""agent_context"", ""ide_ecosystem"", ""model_extensibility"", ""performance_cost"", ""security_compliance""]",SCIM seat management,"### Enterprise

Custom

Everything on Teams, plus:

- ✓ Pooled usage
- ✓ Invoice/PO billing
- ✓ SCIM seat management
- ✓ Repository, model, and MCP access controls
- ✓ Auto-run, browser, and network controls
- ✓ Audit logs and service accounts
- ✓ AI code tracking API
- ✓ Priority support and account management

Contact Sales",3,3,0.8028,true,true,"{""chunk_0154296f2861aad72be603b8"":2,""chunk_c5fedceb650f56c40866e98a"":1,""chunk_77bb3a8ed29e9c7806a2b10d"":1,""chunk_015a8ae26215d7d8e26816d3"":1,""chunk_1e0c884afb69d6ab8c9d48e5"":1}","Cross-Encoder=1.000; 词项证据=0.051; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.763。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
cursor_side_chats_311,Cursor 3.11 的 side chat 如何避免打断主 Agent 会话？,chunk_fa6c659cb1b68ffc73e2b44d,doc_6f62235dc9bf9ac07ad070ad,Cursor,official_changelog,Side Chats and Conversation Search,3.11.0,product_release,"[""code_intelligence"", ""agent_context"", ""performance_cost""]",without interrupting your main agent conversation,"## Side chats

Open a side chat to ask questions, explore ideas, and investigate tangents without interrupting your main agent conversation. Use /side, /btw, or the plus button at the top of the chat panel to create a new side chat that has context from the main chat.

Each side chat is a durable, full agent conversation that you can follow up on, revisit later, and at-mention to pull context back into the main thread.

By default, side chats focus on reading, searching, and answering. Use them to ask clarification questions, research alternatives without committing to a pivot, and sanity-check a decision while the main agent continues running.",3,3,0.8145,true,true,"{""chunk_47a01c72de87b9ca9accd718"":2,""chunk_f6aa1e2fc0fc64f6d8633ee6"":1,""chunk_61c65ab11845c039a67d96c6"":1,""chunk_fe97c057721ae9e1388b1f0e"":1}","Cross-Encoder=1.000; 词项证据=0.098; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.775。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
cursor_automations_38,Cursor 3.8 Automations 新增了哪些触发器和计算机操作能力？,chunk_e40c8ab9aeaa43db310fee96,doc_3414937efa7cf1a0f93303c3,Cursor,official_changelog,Improvements to Cursor Automations,3.8.0,product_release,"[""agent_context"", ""ide_ecosystem""]","new triggers for GitHub and Slack, and support for computer use","# Improvements to Cursor Automations

Cursor Automations save you time by automating repetitive tasks with always-on agents. This release introduces the /automate skill, new triggers for GitHub and Slack, and support for computer use.",3,3,0.8019,true,true,"{""chunk_44201142d36cffcccb5626f7"":2,""chunk_ba24ea3712a1426b2315e94a"":1}","Cross-Encoder=1.000; 词项证据=0.048; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.762。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
cursor_bugbot_metrics,Cursor Bugbot 的评审速度、成本和缺陷发现数量发生了什么变化？,chunk_d9965875d54373f9630cea00,doc_2531d48c0f74c6f92d2beb40,Cursor,official_changelog,"Bugbot is now over 3x faster, 22% cheaper, and finds 10% more bugs",,product_release,"[""agent_context"", ""model_extensibility"", ""performance_cost"", ""security_compliance""]",average review time for Bugbot is now ~90 seconds,"# Bugbot is now over 3x faster, 22% cheaper, and finds 10% more bugs

The average review time for Bugbot is now ~90 seconds, down from ~5 minutes. Bugbot also finds 10% more bugs per review on average — 0.62, up from 0.56 — and costs ~22% less per run.

These performance gains are made possible by progress we've made training Composer 2.5, which now powers Bugbot. Bugbot respects model block lists, and speed and performance can vary depending on your configuration.",3,3,0.7947,true,true,"{""chunk_c102cb35490fac8062c1cc23"":1,""chunk_2681656bad46e94c186f8118"":1,""chunk_60939fb613aa367ea1a57acf"":1,""chunk_305b0ec36cb9c2e1f1634a7d"":1,""chunk_9f7d074fe02cf8a766716b08"":1}","Cross-Encoder=1.000; 词项证据=0.019; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.755。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
cursor_cloud_subagent_37,Cursor 3.7 的 /in-cloud 子 Agent 如何隔离长时间任务？,chunk_95e2856270bfa510adc4bdf2,doc_d3b64d654b269e190c496d5d,Cursor,official_changelog,Cloud Environment Setup and Cloud Subagents in Agents Window,3.7.0,product_release,"[""agent_context""]",runs on its own VM and branch,"## Cloud subagents with /in-cloud

Use /in-cloud to spin up a cloud subagent in its own VM to work on the next task you submit. It runs on its own VM and branch, so your local workspace stays clean and responsive.

This is especially useful for isolating long-running or parallel work like fixing CI, investigating an issue, or exploring a codebase while you keep working locally.

You can also ask a cloud subagent to babysit a PR by clicking on the quick-action pill or using /babysit. The cloud agent will iterate remotely to prepare your PR for merge without tying up the local session.

The cloud subagent can run in the background without interrupting the parent agent, which can continue to run locally or in the cloud.",3,3,0.8062,true,true,"{""chunk_7aa60f3448cc416bf9c29ffe"":2,""chunk_389f687fffeb8055e694db7b"":2,""chunk_60f4492a8026abe68d585b84"":1,""chunk_e6f562692fdcdc588cea3f18"":1}","Cross-Encoder=1.000; 词项证据=0.065; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.766。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
cursor_canvas_design_37,Cursor 3.7 的 Canvas Design Mode 如何让用户指导界面修改？,chunk_00a06c66b59e969030137fb1,doc_9c353db2fb5777ead1e688e2,Cursor,official_changelog,Canvas Design Mode and Context Usage Report,3.7.0,product_release,"[""agent_context""]",Select and annotate UI elements directly,"## Design Mode in canvases

Design Mode is now available in canvases.

Select and annotate UI elements directly in a canvas to guide Cursor's edits, just as you would in the browser. Instead of describing the change in text, you can point to it, provide feedback, and iterate more quickly.",3,3,0.8190,true,true,"{""chunk_5b5434c7f0ed123bf0764ac8"":2,""chunk_213d3467079e67a5995ed6a8"":2,""chunk_06afaa0b8de4dc986a057db3"":2,""chunk_60f4492a8026abe68d585b84"":1,""chunk_865c9f4590d51bf1e45bae25"":1,""chunk_b624857e589f5d125e6fce53"":1}","Cross-Encoder=1.000; 词项证据=0.116; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.779。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
copilot_official_workflow,GitHub Copilot 可以在哪些开发工作界面使用 Agent？,chunk_07f5149873cd3e5cc3ebfeea,doc_1baa5840c6e49fc1628e6718,GitHub Copilot,official_page,GitHub Copilot · Your AI pair programmer,,,"[""code_intelligence"", ""agent_context"", ""ide_ecosystem"", ""model_extensibility"", ""performance_cost"", ""security_compliance"", ""education_fit""]","GitHub, your IDE, the CLI, project tools, chat apps","### Stay in your flow

Copilot works where you do—in GitHub, your IDE, the CLI, project tools, chat apps, and custom MCP servers.

Workflow",3,3,0.8505,true,true,"{""chunk_0f3ca01dd8ec2840e1ca964a"":2,""chunk_4b632fee7d37e3c74cdefb90"":2,""chunk_67b89835e8e1f9348f317b8d"":2,""chunk_fba32cf66b8734e83ef83b58"":2,""chunk_8372de4f080e6f37720d7a5c"":2,""chunk_4a3f5ac40ce7c35ceeef6baf"":1,""chunk_e382f6a9ba75d8472a968e58"":1,""chunk_f5c2daff08002d1f59fb0cfc"":1,""chunk_b665d76d4804971a33d44cc5"":1,""chunk_d3dae02400b860a9bee5c433"":1,""chunk_25e462ec60f79a6708f387d3"":1}","Cross-Encoder=0.442; 词项证据=0.058; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.430。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
copilot_ai_credit_value,GitHub AI Credits 的美元换算关系是什么？,chunk_b11afbb3413e708162be063e,doc_bbd908337adaf9b334e47cb8,GitHub Copilot,pricing,GitHub Copilot · Plans & pricing,,pricing_change,"[""code_intelligence"", ""agent_context"", ""ide_ecosystem"", ""model_extensibility"", ""performance_cost"", ""security_compliance"", ""education_fit""]",1 AI credit = $0.01 USD,"#### What are GitHub AI Credits?

GitHub AI Credits are how you pay for AI usage in GitHub Copilot. Every plan includes a monthly allowance: 1 AI credit = $0.01 USD.

You use credits when you chat with Copilot, work with agents, or use Copilot CLI, Spaces, and Spark. Code completions and next edit suggestions don't use credits. They remain unlimited with every paid plan.

How many credits an interaction uses depends on the model you choose and the complexity of the task. A quick question to a lightweight model costs a fraction of a credit. A longer agent session on a frontier model across many files costs more.",3,3,0.8155,true,true,"{""chunk_5c3b3d51e0f3201cab72bcb7"":1,""chunk_f5224619a4ea5f08a90ece49"":1,""chunk_559a2f8e0a7da35043740944"":1,""chunk_8073de01e35184d980b4ef00"":1,""chunk_88cc34013e5da09272301437"":1,""chunk_1680fe63e8ff4b10ea61a79e"":1,""chunk_1ac510ec2404d625b8fb5bb2"":1,""chunk_5b5ba96376111103bfcb2488"":1,""chunk_b5420e4550c5e8e816aa1854"":1,""chunk_09cb6b13033438d0e2fa4a90"":1,""chunk_5be48868303d246c6cd141f9"":1,""chunk_1f0f8238a2ed80eab30ac539"":1,""chunk_71ecea7547af6e9ec82453da"":1,""chunk_35874f46f330848ae695b362"":1}","Cross-Encoder=1.000; 词项证据=0.102; 预期引文命中=是; 种子Chunk=是; 检索组=A,B,C; 组合分=0.776。",cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,2026-07-17T04:50:01.395302+00:00,20260717-ai-50,,,,,,,
